/home/jayden/NNTrainer_Playground/t5gemma2/nntrainer/Applications/CausalLM/res/qwen3/qwen3-0.6b
/home/jayden/NNTrainer_Playground/t5gemma2/nntrainer/Applications/CausalLM/res/qwen3/qwen3-0.6b/qwen3_0.6b_fp32_x86.bin
Model Weight Bytes Breakdown:
=========================
embedding0 | embedding0:Embedding | 622329856 bytes
layer0_attention_norm | layer0_attention_norm:gamma | 4096 bytes
layer0_wq | layer0_wq:weight | 8388608 bytes
layer0_q_norm | layer0_q_norm:gamma | 512 bytes
layer0_wk | layer0_wk:weight | 4194304 bytes
layer0_k_norm | layer0_k_norm:gamma | 512 bytes
layer0_wv | layer0_wv:weight | 4194304 bytes
layer0_attention_out | layer0_attention_out:weight | 8388608 bytes
layer0_ffn_norm | layer0_ffn_norm:gamma | 4096 bytes
layer0_ffn_gate | layer0_ffn_gate:weight | 12582912 bytes
layer0_ffn_up | layer0_ffn_up:weight | 12582912 bytes
layer0_ffn_down | layer0_ffn_down:weight | 12582912 bytes
layer1_attention_norm | layer1_attention_norm:gamma | 4096 bytes
layer1_wq | layer1_wq:weight | 8388608 bytes
layer1_q_norm | layer1_q_norm:gamma | 512 bytes
layer1_wk | layer1_wk:weight | 4194304 bytes
layer1_k_norm | layer1_k_norm:gamma | 512 bytes
layer1_wv | layer1_wv:weight | 4194304 bytes
layer1_attention_out | layer1_attention_out:weight | 8388608 bytes
layer1_ffn_norm | layer1_ffn_norm:gamma | 4096 bytes
layer1_ffn_gate | layer1_ffn_gate:weight | 12582912 bytes
layer1_ffn_up | layer1_ffn_up:weight | 12582912 bytes
layer1_ffn_down | layer1_ffn_down:weight | 12582912 bytes
layer2_attention_norm | layer2_attention_norm:gamma | 4096 bytes
layer2_wq | layer2_wq:weight | 8388608 bytes
layer2_q_norm | layer2_q_norm:gamma | 512 bytes
layer2_wk | layer2_wk:weight | 4194304 bytes
layer2_k_norm | layer2_k_norm:gamma | 512 bytes
layer2_wv | layer2_wv:weight | 4194304 bytes
layer2_attention_out | layer2_attention_out:weight | 8388608 bytes
layer2_ffn_norm | layer2_ffn_norm:gamma | 4096 bytes
layer2_ffn_gate | layer2_ffn_gate:weight | 12582912 bytes
layer2_ffn_up | layer2_ffn_up:weight | 12582912 bytes
layer2_ffn_down | layer2_ffn_down:weight | 12582912 bytes
layer3_attention_norm | layer3_attention_norm:gamma | 4096 bytes
layer3_wq | layer3_wq:weight | 8388608 bytes
layer3_q_norm | layer3_q_norm:gamma | 512 bytes
layer3_wk | layer3_wk:weight | 4194304 bytes
layer3_k_norm | layer3_k_norm:gamma | 512 bytes
layer3_wv | layer3_wv:weight | 4194304 bytes
layer3_attention_out | layer3_attention_out:weight | 8388608 bytes
layer3_ffn_norm | layer3_ffn_norm:gamma | 4096 bytes
layer3_ffn_gate | layer3_ffn_gate:weight | 12582912 bytes
layer3_ffn_up | layer3_ffn_up:weight | 12582912 bytes
layer3_ffn_down | layer3_ffn_down:weight | 12582912 bytes
layer4_attention_norm | layer4_attention_norm:gamma | 4096 bytes
layer4_wq | layer4_wq:weight | 8388608 bytes
layer4_q_norm | layer4_q_norm:gamma | 512 bytes
layer4_wk | layer4_wk:weight | 4194304 bytes
layer4_k_norm | layer4_k_norm:gamma | 512 bytes
layer4_wv | layer4_wv:weight | 4194304 bytes
layer4_attention_out | layer4_attention_out:weight | 8388608 bytes
layer4_ffn_norm | layer4_ffn_norm:gamma | 4096 bytes
layer4_ffn_gate | layer4_ffn_gate:weight | 12582912 bytes
layer4_ffn_up | layer4_ffn_up:weight | 12582912 bytes
layer4_ffn_down | layer4_ffn_down:weight | 12582912 bytes
layer5_attention_norm | layer5_attention_norm:gamma | 4096 bytes
layer5_wq | layer5_wq:weight | 8388608 bytes
layer5_q_norm | layer5_q_norm:gamma | 512 bytes
layer5_wk | layer5_wk:weight | 4194304 bytes
layer5_k_norm | layer5_k_norm:gamma | 512 bytes
layer5_wv | layer5_wv:weight | 4194304 bytes
layer5_attention_out | layer5_attention_out:weight | 8388608 bytes
layer5_ffn_norm | layer5_ffn_norm:gamma | 4096 bytes
layer5_ffn_gate | layer5_ffn_gate:weight | 12582912 bytes
layer5_ffn_up | layer5_ffn_up:weight | 12582912 bytes
layer5_ffn_down | layer5_ffn_down:weight | 12582912 bytes
layer6_attention_norm | layer6_attention_norm:gamma | 4096 bytes
layer6_wq | layer6_wq:weight | 8388608 bytes
layer6_q_norm | layer6_q_norm:gamma | 512 bytes
layer6_wk | layer6_wk:weight | 4194304 bytes
layer6_k_norm | layer6_k_norm:gamma | 512 bytes
layer6_wv | layer6_wv:weight | 4194304 bytes
layer6_attention_out | layer6_attention_out:weight | 8388608 bytes
layer6_ffn_norm | layer6_ffn_norm:gamma | 4096 bytes
layer6_ffn_gate | layer6_ffn_gate:weight | 12582912 bytes
layer6_ffn_up | layer6_ffn_up:weight | 12582912 bytes
layer6_ffn_down | layer6_ffn_down:weight | 12582912 bytes
layer7_attention_norm | layer7_attention_norm:gamma | 4096 bytes
layer7_wq | layer7_wq:weight | 8388608 bytes
layer7_q_norm | layer7_q_norm:gamma | 512 bytes
layer7_wk | layer7_wk:weight | 4194304 bytes
layer7_k_norm | layer7_k_norm:gamma | 512 bytes
layer7_wv | layer7_wv:weight | 4194304 bytes
layer7_attention_out | layer7_attention_out:weight | 8388608 bytes
layer7_ffn_norm | layer7_ffn_norm:gamma | 4096 bytes
layer7_ffn_gate | layer7_ffn_gate:weight | 12582912 bytes
layer7_ffn_up | layer7_ffn_up:weight | 12582912 bytes
layer7_ffn_down | layer7_ffn_down:weight | 12582912 bytes
layer8_attention_norm | layer8_attention_norm:gamma | 4096 bytes
layer8_wq | layer8_wq:weight | 8388608 bytes
layer8_q_norm | layer8_q_norm:gamma | 512 bytes
layer8_wk | layer8_wk:weight | 4194304 bytes
layer8_k_norm | layer8_k_norm:gamma | 512 bytes
layer8_wv | layer8_wv:weight | 4194304 bytes
layer8_attention_out | layer8_attention_out:weight | 8388608 bytes
layer8_ffn_norm | layer8_ffn_norm:gamma | 4096 bytes
layer8_ffn_gate | layer8_ffn_gate:weight | 12582912 bytes
layer8_ffn_up | layer8_ffn_up:weight | 12582912 bytes
layer8_ffn_down | layer8_ffn_down:weight | 12582912 bytes
layer9_attention_norm | layer9_attention_norm:gamma | 4096 bytes
layer9_wq | layer9_wq:weight | 8388608 bytes
layer9_q_norm | layer9_q_norm:gamma | 512 bytes
layer9_wk | layer9_wk:weight | 4194304 bytes
layer9_k_norm | layer9_k_norm:gamma | 512 bytes
layer9_wv | layer9_wv:weight | 4194304 bytes
layer9_attention_out | layer9_attention_out:weight | 8388608 bytes
layer9_ffn_norm | layer9_ffn_norm:gamma | 4096 bytes
layer9_ffn_gate | layer9_ffn_gate:weight | 12582912 bytes
layer9_ffn_up | layer9_ffn_up:weight | 12582912 bytes
layer9_ffn_down | layer9_ffn_down:weight | 12582912 bytes
layer10_attention_norm | layer10_attention_norm:gamma | 4096 bytes
layer10_wq | layer10_wq:weight | 8388608 bytes
layer10_q_norm | layer10_q_norm:gamma | 512 bytes
layer10_wk | layer10_wk:weight | 4194304 bytes
layer10_k_norm | layer10_k_norm:gamma | 512 bytes
layer10_wv | layer10_wv:weight | 4194304 bytes
layer10_attention_out | layer10_attention_out:weight | 8388608 bytes
layer10_ffn_norm | layer10_ffn_norm:gamma | 4096 bytes
layer10_ffn_gate | layer10_ffn_gate:weight | 12582912 bytes
layer10_ffn_up | layer10_ffn_up:weight | 12582912 bytes
layer10_ffn_down | layer10_ffn_down:weight | 12582912 bytes
layer11_attention_norm | layer11_attention_norm:gamma | 4096 bytes
layer11_wq | layer11_wq:weight | 8388608 bytes
layer11_q_norm | layer11_q_norm:gamma | 512 bytes
layer11_wk | layer11_wk:weight | 4194304 bytes
layer11_k_norm | layer11_k_norm:gamma | 512 bytes
layer11_wv | layer11_wv:weight | 4194304 bytes
layer11_attention_out | layer11_attention_out:weight | 8388608 bytes
layer11_ffn_norm | layer11_ffn_norm:gamma | 4096 bytes
layer11_ffn_gate | layer11_ffn_gate:weight | 12582912 bytes
layer11_ffn_up | layer11_ffn_up:weight | 12582912 bytes
layer11_ffn_down | layer11_ffn_down:weight | 12582912 bytes
layer12_attention_norm | layer12_attention_norm:gamma | 4096 bytes
layer12_wq | layer12_wq:weight | 8388608 bytes
layer12_q_norm | layer12_q_norm:gamma | 512 bytes
layer12_wk | layer12_wk:weight | 4194304 bytes
layer12_k_norm | layer12_k_norm:gamma | 512 bytes
layer12_wv | layer12_wv:weight | 4194304 bytes
layer12_attention_out | layer12_attention_out:weight | 8388608 bytes
layer12_ffn_norm | layer12_ffn_norm:gamma | 4096 bytes
layer12_ffn_gate | layer12_ffn_gate:weight | 12582912 bytes
layer12_ffn_up | layer12_ffn_up:weight | 12582912 bytes
layer12_ffn_down | layer12_ffn_down:weight | 12582912 bytes
layer13_attention_norm | layer13_attention_norm:gamma | 4096 bytes
layer13_wq | layer13_wq:weight | 8388608 bytes
layer13_q_norm | layer13_q_norm:gamma | 512 bytes
layer13_wk | layer13_wk:weight | 4194304 bytes
layer13_k_norm | layer13_k_norm:gamma | 512 bytes
layer13_wv | layer13_wv:weight | 4194304 bytes
layer13_attention_out | layer13_attention_out:weight | 8388608 bytes
layer13_ffn_norm | layer13_ffn_norm:gamma | 4096 bytes
layer13_ffn_gate | layer13_ffn_gate:weight | 12582912 bytes
layer13_ffn_up | layer13_ffn_up:weight | 12582912 bytes
layer13_ffn_down | layer13_ffn_down:weight | 12582912 bytes
layer14_attention_norm | layer14_attention_norm:gamma | 4096 bytes
layer14_wq | layer14_wq:weight | 8388608 bytes
layer14_q_norm | layer14_q_norm:gamma | 512 bytes
layer14_wk | layer14_wk:weight | 4194304 bytes
layer14_k_norm | layer14_k_norm:gamma | 512 bytes
layer14_wv | layer14_wv:weight | 4194304 bytes
layer14_attention_out | layer14_attention_out:weight | 8388608 bytes
layer14_ffn_norm | layer14_ffn_norm:gamma | 4096 bytes
layer14_ffn_gate | layer14_ffn_gate:weight | 12582912 bytes
layer14_ffn_up | layer14_ffn_up:weight | 12582912 bytes
layer14_ffn_down | layer14_ffn_down:weight | 12582912 bytes
layer15_attention_norm | layer15_attention_norm:gamma | 4096 bytes
layer15_wq | layer15_wq:weight | 8388608 bytes
layer15_q_norm | layer15_q_norm:gamma | 512 bytes
layer15_wk | layer15_wk:weight | 4194304 bytes
layer15_k_norm | layer15_k_norm:gamma | 512 bytes
layer15_wv | layer15_wv:weight | 4194304 bytes
layer15_attention_out | layer15_attention_out:weight | 8388608 bytes
layer15_ffn_norm | layer15_ffn_norm:gamma | 4096 bytes
layer15_ffn_gate | layer15_ffn_gate:weight | 12582912 bytes
layer15_ffn_up | layer15_ffn_up:weight | 12582912 bytes
layer15_ffn_down | layer15_ffn_down:weight | 12582912 bytes
layer16_attention_norm | layer16_attention_norm:gamma | 4096 bytes
layer16_wq | layer16_wq:weight | 8388608 bytes
layer16_q_norm | layer16_q_norm:gamma | 512 bytes
layer16_wk | layer16_wk:weight | 4194304 bytes
layer16_k_norm | layer16_k_norm:gamma | 512 bytes
layer16_wv | layer16_wv:weight | 4194304 bytes
layer16_attention_out | layer16_attention_out:weight | 8388608 bytes
layer16_ffn_norm | layer16_ffn_norm:gamma | 4096 bytes
layer16_ffn_gate | layer16_ffn_gate:weight | 12582912 bytes
layer16_ffn_up | layer16_ffn_up:weight | 12582912 bytes
layer16_ffn_down | layer16_ffn_down:weight | 12582912 bytes
layer17_attention_norm | layer17_attention_norm:gamma | 4096 bytes
layer17_wq | layer17_wq:weight | 8388608 bytes
layer17_q_norm | layer17_q_norm:gamma | 512 bytes
layer17_wk | layer17_wk:weight | 4194304 bytes
layer17_k_norm | layer17_k_norm:gamma | 512 bytes
layer17_wv | layer17_wv:weight | 4194304 bytes
layer17_attention_out | layer17_attention_out:weight | 8388608 bytes
layer17_ffn_norm | layer17_ffn_norm:gamma | 4096 bytes
layer17_ffn_gate | layer17_ffn_gate:weight | 12582912 bytes
layer17_ffn_up | layer17_ffn_up:weight | 12582912 bytes
layer17_ffn_down | layer17_ffn_down:weight | 12582912 bytes
layer18_attention_norm | layer18_attention_norm:gamma | 4096 bytes
layer18_wq | layer18_wq:weight | 8388608 bytes
layer18_q_norm | layer18_q_norm:gamma | 512 bytes
layer18_wk | layer18_wk:weight | 4194304 bytes
layer18_k_norm | layer18_k_norm:gamma | 512 bytes
layer18_wv | layer18_wv:weight | 4194304 bytes
layer18_attention_out | layer18_attention_out:weight | 8388608 bytes
layer18_ffn_norm | layer18_ffn_norm:gamma | 4096 bytes
layer18_ffn_gate | layer18_ffn_gate:weight | 12582912 bytes
layer18_ffn_up | layer18_ffn_up:weight | 12582912 bytes
layer18_ffn_down | layer18_ffn_down:weight | 12582912 bytes
layer19_attention_norm | layer19_attention_norm:gamma | 4096 bytes
layer19_wq | layer19_wq:weight | 8388608 bytes
layer19_q_norm | layer19_q_norm:gamma | 512 bytes
layer19_wk | layer19_wk:weight | 4194304 bytes
layer19_k_norm | layer19_k_norm:gamma | 512 bytes
layer19_wv | layer19_wv:weight | 4194304 bytes
layer19_attention_out | layer19_attention_out:weight | 8388608 bytes
layer19_ffn_norm | layer19_ffn_norm:gamma | 4096 bytes
layer19_ffn_gate | layer19_ffn_gate:weight | 12582912 bytes
layer19_ffn_up | layer19_ffn_up:weight | 12582912 bytes
layer19_ffn_down | layer19_ffn_down:weight | 12582912 bytes
layer20_attention_norm | layer20_attention_norm:gamma | 4096 bytes
layer20_wq | layer20_wq:weight | 8388608 bytes
layer20_q_norm | layer20_q_norm:gamma | 512 bytes
layer20_wk | layer20_wk:weight | 4194304 bytes
layer20_k_norm | layer20_k_norm:gamma | 512 bytes
layer20_wv | layer20_wv:weight | 4194304 bytes
layer20_attention_out | layer20_attention_out:weight | 8388608 bytes
layer20_ffn_norm | layer20_ffn_norm:gamma | 4096 bytes
layer20_ffn_gate | layer20_ffn_gate:weight | 12582912 bytes
layer20_ffn_up | layer20_ffn_up:weight | 12582912 bytes
layer20_ffn_down | layer20_ffn_down:weight | 12582912 bytes
layer21_attention_norm | layer21_attention_norm:gamma | 4096 bytes
layer21_wq | layer21_wq:weight | 8388608 bytes
layer21_q_norm | layer21_q_norm:gamma | 512 bytes
layer21_wk | layer21_wk:weight | 4194304 bytes
